<file>
<4>{0}[  135.958267] Freezing remaining freezable tasks ... (elapsed 0.01 seconds) done.
<7>{0}[  136.250154] samsung-i2s samsung-i2s.4: suspend
<7>{0}[  136.250209] snd-soc-dummy snd-soc-dummy: suspend
<7>{0}[  136.250639] leds torch_led: legacy class suspend
<7>{0}[  136.250690] leds bu26507-slope: legacy class suspend
<7>{0}[  136.250742] leds bu26507-pwm: legacy class suspend
<7>{0}[  136.250792] leds bu26507-led9: legacy class suspend
<7>{0}[  136.250841] leds bu26507-led8: legacy class suspend
<7>{0}[  136.250891] leds bu26507-led7: legacy class suspend
<7>{0}[  136.250941] leds bu26507-led6: legacy class suspend
<7>{0}[  136.250991] leds bu26507-led5: legacy class suspend
<7>{0}[  136.251041] leds bu26507-led4: legacy class suspend
<7>{0}[  136.251091] leds bu26507-led3: legacy class suspend
<7>{0}[  136.251141] leds bu26507-led2: legacy class suspend
<7>{0}[  136.251191] leds bu26507-led1: legacy class suspend
<7>{0}[  136.251240] leds bu26507-led0: legacy class suspend
<7>{0}[  136.251320] leds mmc1::: legacy class suspend
<7>{0}[  136.252127] alarm alarm: suspend
<7>{0}[  136.275624] max77686_rtc_read_time: 112/6/7 4:12:27(6)
<7>{0}[  136.300614] max77686_rtc_read_time: 112/6/7 4:12:27(6)
<7>{0}[  136.300640] max77686_rtc_set_alarm: 112/6/7 4:14:13(6)
<6>{0}[  136.325586] max77686_rtc_stop_alarm: 112/6/7 4:14:12(6)
<6>{0}[  136.405582] max77686_rtc_start_alarm: 112/6/7 4:14:13(6)
<7>{0}[  136.460609] max77686_rtc_read_time: 112/6/7 4:12:27(6)
<7>{0}[  136.460672] rtc rtc0: legacy class suspend
<7>{0}[  136.485588] max77686_rtc_read_time: 112/6/7 4:12:27(6)
<6>{0}[  136.485618] rtc_suspend @ (2012-07-07 12:12:27) Shanghai
<7>{0}[  136.490281] input input7: type suspend
<7>{0}[  136.490374] input input6: type suspend
<7>{0}[  136.490463] input input5: type suspend
<7>{0}[  136.491199] s5p-ehci s5p-ehci: suspend
<7>{0}[  136.491890] max77686_reg_disable: id=15, reg=4f, mask=c0, pattern=40
<7>{0}[  136.492848] max77686_reg_disable: id=14, reg=4e, mask=c0, pattern=40
<7>{0}[  136.493719] platform wm8994-gpio: suspend
<7>{0}[  136.493772] wm8994-codec wm8994-codec: suspend
<7>{0}[  136.493857] wm8994-ldo wm8994-ldo.1: suspend
<7>{0}[  136.493940] wm8994-ldo wm8994-ldo.0: suspend
<7>{0}[  136.493993] input input4: type suspend
<7>{0}[  136.494110] input input3: type suspend
<7>{0}[  136.494197] input input2: type suspend
<7>{0}[  136.494285] input input1: type suspend
<7>{0}[  136.495831] mali_dev mali_dev.0: suspend
<7>{0}[  136.496240] backlight pwm-backlight: legacy class suspend
<7>{0}[  136.496418] bcm4329_wlan bcm4329_wlan: suspend
<7>{0}[  136.496477] s3c-sdhci s3c-sdhci.3: suspend
<7>{0}[  136.497149] rfkill rfkill0: legacy class suspend
<7>{0}[  136.497207] input input0: type suspend
<7>{0}[  136.499691] ov7690 7-0021: suspend
<7>{0}[  136.499744] M6MO 7-001f: suspend
<7>{0}[  136.499803] i2c i2c-7: suspend
<7>{0}[  136.499859] atmel_mxt_ts 6-004a: suspend
<7>{0}[  136.499914] i2c i2c-6: suspend
<7>{0}[  136.499967] bq27541 5-0055: suspend, may wakeup
<7>{0}[  136.500208] wake enabled for irq 369
<7>{0}[  136.500272] i2c i2c-5: suspend
<7>{0}[  136.500517] max77665-safeout max77665-safeout: suspend
<7>{0}[  136.500572] torch-led torch-led: suspend
<7>{0}[  136.500622] max77665-haptic max77665-haptic: suspend
<6>{0}[  136.502157] [VIB] DEV NAME max77665-haptic 100000000
<7>{0}[  136.506271] max77665-charger max77665-charger: suspend
<6>{0}[  136.506291] max77665-charger max77665-charger: max77665_suspend
<7>{0}[  136.512617] platform max77665-pmic: suspend
<7>{0}[  136.512671] dummy 4-0048: suspend
<7>{0}[  136.512736] max77665 4-0066: suspend, may wakeup
<7>{0}[  136.512815] wake enabled for irq 357
<7>{0}[  136.512877] i2c i2c-4: suspend
<7>{0}[  136.512931] max77686-rtc max77686-rtc: suspend, may wakeup
<7>{0}[  136.514136] max77686-pmic max77686-pmic: suspend
<7>{0}[  136.514188] dummy 3-0006: suspend
<7>{0}[  136.514243] max77686 3-0009: suspend, may wakeup
<7>{0}[  136.514275] wake enabled for irq 356
<7>{0}[  136.514335] i2c i2c-3: suspend
<7>{0}[  136.514385] s5p_ddc 1-003a: suspend
<7>{0}[  136.514440] i2c i2c-1: suspend
<7>{0}[  136.514489] a1028_soc 0-003e: suspend
<7>{0}[  136.514550] wm8994 0-001a: suspend
<7>{0}[  136.517301] i2c i2c-0: suspend
<7>{0}[  136.517357] bu26507-led bu26507-slope: suspend
<7>{0}[  136.517412] bu26507-led bu26507-pwm: suspend
<7>{0}[  136.517465] bu26507-led bu26507-led.9: suspend
<7>{0}[  136.517518] bu26507-led bu26507-led.8: suspend
<7>{0}[  136.517570] bu26507-led bu26507-led.7: suspend
<7>{0}[  136.517623] bu26507-led bu26507-led.6: suspend
<7>{0}[  136.517677] bu26507-led bu26507-led.5: suspend
<7>{0}[  136.517730] bu26507-led bu26507-led.4: suspend
<7>{0}[  136.517783] bu26507-led bu26507-led.3: suspend
<7>{0}[  136.517835] bu26507-led bu26507-led.2: suspend
<7>{0}[  136.517888] bu26507-led bu26507-led.1: suspend
<7>{0}[  136.517941] bu26507-led bu26507-led.0: suspend
<7>{0}[  136.518025] bu26507-led 13-0074: suspend
<7>{0}[  136.518086] i2c i2c-13: suspend
<7>{0}[  136.518139] gp2ap020a00f 12-0039: suspend
<7>{0}[  136.518194] i2c i2c-12: suspend
<7>{0}[  136.518245] l3g4200d 11-0069: suspend
<7>{0}[  136.518301] i2c i2c-11: suspend
<7>{0}[  136.518350] akm8975 10-000c: suspend
<7>{0}[  136.519135] i2c i2c-10: suspend
<7>{0}[  136.519188] lis3dh 9-0019: suspend
<7>{0}[  136.519245] i2c i2c-9: suspend
<7>{0}[  136.519293] s5p_mhl 8-0066: suspend
<7>{0}[  136.519342] s5p_mhl 8-004b: suspend
<7>{0}[  136.519391] s5p_mhl 8-003f: suspend
<7>{0}[  136.519440] s5p_mhl 8-003b: suspend
<7>{0}[  136.519503] i2c i2c-8: suspend
<7>{0}[  136.519936] s5pv210-uart s5pv210-uart.3: suspend
<7>{0}[  136.520159] s5pv210-uart s5pv210-uart.2: suspend
<7>{0}[  136.520231] s5pv210-uart s5pv210-uart.1: suspend
<7>{0}[  136.520301] s5pv210-uart s5pv210-uart.0: suspend
<7>{0}[  136.520367] arm-pmu arm-pmu.0: suspend
<7>{0}[  136.520418] s3c-pl330 s3c-pl330.2: suspend
<7>{0}[  136.520468] s3c-pl330 s3c-pl330.1: suspend
<7>{0}[  136.520518] s3c-pl330 s3c-pl330.0: suspend
<7>{0}[  136.520567] logger logger: suspend
<7>{0}[  136.520616] ram_console ram_console: suspend
<7>{0}[  136.520670] m03x-battery m03x-battery: suspend
<7>{0}[  136.520720] s5p-rotator s5p-rotator: suspend
<7>{0}[  136.520770] s3c24xx-pwm s3c24xx-pwm.1: suspend
<7>{0}[  136.520874] exynos4-tmu exynos4x12-tmu: suspend
<7>{0}[  136.520976] exynos-busfreq exynos-busfreq: suspend
<7>{0}[  136.521029] exynos4-ppmu exynos4-ppmu.3: suspend
<7>{0}[  136.521081] exynos4-ppmu exynos4-ppmu.5: suspend
<7>{0}[  136.521131] exynos4-ppmu exynos4-ppmu.4: suspend
<7>{0}[  136.521182] exynos-cpufreq exynos4412-cpufreq: suspend
<7>{0}[  136.521236] bt_ctr bt_ctr: suspend, may wakeup
<7>{0}[  136.521286] switch-gpio switch-gpio: suspend
<7>{0}[  136.521600] s5p-jpeg m03x-jpeg: suspend
<7>{0}[  136.521658] ublox-gps ublox-gps: suspend
<7>{0}[  136.521712] s3c-hwmon s3c-hwmon: suspend
<7>{0}[  136.521766] s3c-adc exynos4412-adc: suspend
<7>{0}[  136.521988] usb_detect usb_detect: suspend
<7>{0}[  136.522041] exynos-sysmmu exynos-sysmmu.15: suspend
<7>{0}[  136.522092] s5p-fimg2d s5p-fimg2d: suspend
<7>{0}[  136.522145] s3c-usbgadget s3c-usbgadget: suspend
<7>{0}[  136.522349] xmm_modem xmm_modem: suspend, may wakeup
<7>{0}[  136.522374] wake enabled for irq 381
<7>{0}[  136.522393] wake enabled for irq 376
<7>{0}[  136.522445] platform s3c64xx-rtc: suspend
<7>{0}[  136.522494] s3c2410-wdt s3c2410-wdt: suspend
<7>{0}[  136.522588] s3c-csis s3c-csis.0: suspend
<7>{0}[  136.522638] platform s5p-mfc-r: suspend
<7>{0}[  136.522688] platform s5p-mfc-l: suspend
<7>{0}[  136.522744] s3c-mfc s3c-mfc: suspend
<7>{0}[  136.522794] s3c-fimc s3c-fimc.3: suspend
<7>{0}[  136.522846] s3c-fimc s3c-fimc.2: suspend
<7>{0}[  136.522895] s3c-fimc s3c-fimc.1: suspend
<7>{0}[  136.522945] s3c-fimc s3c-fimc.0: suspend
<7>{0}[  136.522995] s5p-tvout-hpd s5p-tvout-hpd: suspend
<7>{0}[  136.523057] platform s5p-tvout-cec: suspend
<7>{0}[  136.523129] s5p-tvout s5p-tvout: suspend
<7>{0}[  136.523179] mx-spdif mx-spdif: suspend
<7>{0}[  136.523228] samsung-spdif samsung-spdif: suspend
<7>{0}[  136.523278] mx-audio mx-audio: suspend
<7>{0}[  136.523327] platform samsung-audio-idma: suspend
<7>{0}[  136.523377] samsung-audio samsung-audio: suspend
<7>{0}[  136.523426] samsung-pcm samsung-pcm.1: suspend
<7>{0}[  136.523476] samsung-i2s samsung-i2s.0: suspend
<7>{0}[  136.523598] dw_mmc dw_mmc: suspend
<7>{0}[  136.524695] s5p-mipi-dsim s5p-mipi-dsim.0: suspend
<7>{0}[  136.524766] s3cfb s3cfb.0: suspend
<7>{0}[  136.524820] reg-fixed-voltage reg-fixed-voltage.10: suspend
<7>{0}[  136.524876] reg-fixed-voltage reg-fixed-voltage.9: suspend
<7>{0}[  136.524930] reg-fixed-voltage reg-fixed-voltage.8: suspend
<7>{0}[  136.524985] reg-fixed-voltage reg-fixed-voltage.7: suspend
<7>{0}[  136.525110] reg-fixed-voltage reg-fixed-voltage.6: suspend
<7>{0}[  136.525168] reg-fixed-voltage reg-fixed-voltage.5: suspend
<7>{0}[  136.525223] reg-fixed-voltage reg-fixed-voltage.4: suspend
<7>{0}[  136.525278] reg-fixed-voltage reg-fixed-voltage.3: suspend
<7>{0}[  136.525333] reg-fixed-voltage reg-fixed-voltage.2: suspend
<7>{0}[  136.525386] reg-fixed-voltage reg-fixed-voltage.1: suspend
<7>{0}[  136.525441] reg-fixed-voltage reg-fixed-voltage.0: suspend
<7>{0}[  136.525497] gpio-keys gpio-keys.0: suspend, may wakeup
<7>{0}[  136.525520] wake enabled for irq 352
<7>{0}[  136.525540] wake enabled for irq 354
<7>{0}[  136.525595] i2c-gpio i2c-gpio.13: suspend
<7>{0}[  136.525649] i2c-gpio i2c-gpio.12: suspend
<7>{0}[  136.525702] i2c-gpio i2c-gpio.11: suspend
<7>{0}[  136.525753] i2c-gpio i2c-gpio.10: suspend
<7>{0}[  136.525806] i2c-gpio i2c-gpio.9: suspend
<7>{0}[  136.525859] i2c-gpio i2c-gpio.8: suspend
<7>{0}[  136.525912] s3c-i2c s3c2440-i2c.7: suspend
<7>{0}[  136.525965] s3c-i2c s3c2440-i2c.6: suspend
<7>{0}[  136.526018] s3c-i2c s3c2440-i2c.5: suspend
<7>{0}[  136.526070] s3c-i2c s3c2440-i2c.4: suspend
<7>{0}[  136.526123] s3c-i2c s3c2440-i2c.3: suspend
<7>{0}[  136.526175] s3c-i2c s3c2440-i2c.1: suspend
<7>{0}[  136.526228] s3c-i2c s3c2440-i2c.0: suspend
<7>{0}[  136.526277] samsung-pd samsung-pd.8: suspend
<7>{0}[  136.526328] samsung-pd samsung-pd.7: suspend
<7>{0}[  136.526379] samsung-pd samsung-pd.6: suspend
<7>{0}[  136.526433] samsung-pd samsung-pd.4: suspend
<7>{0}[  136.526486] samsung-pd samsung-pd.5: suspend
<7>{0}[  136.526536] samsung-pd samsung-pd.2: suspend
<7>{0}[  136.526590] samsung-pd samsung-pd.1: suspend
<7>{0}[  136.526643] samsung-pd samsung-pd.0: suspend
<7>{0}[  136.526696] wakeup_assist wakeup_assist.0: suspend
<7>{0}[  136.526750] pwm-backlight pwm-backlight: suspend
<7>{0}[  136.526804] s3c24xx-pwm s3c24xx-pwm.0: suspend
<7>{0}[  136.526968] platform reg-dummy: suspend
<7>{0}[  136.527018] power power.0: suspend
<6>{0}[  136.527353] PM: suspend of devices complete after 536.127 msecs
<7>{0}[  136.532656] max77686_buck_suspend_disable: id=34, reg=38, mask=3, pattern=1
<7>{0}[  136.532768] max77686_buck_suspend_disable: id=29, reg=26, mask=30, pattern=10
<7>{0}[  136.532797] max77686_buck_suspend_disable: id=28, reg=1c, mask=30, pattern=10
<7>{0}[  136.532825] max77686_buck_suspend_disable: id=27, reg=12, mask=30, pattern=10
<7>{0}[  136.532853] max77686_buck_suspend_disable: id=26, reg=10, mask=3, pattern=1
<7>{0}[  136.535104] usb 1-2: LATE type suspend
<7>{0}[  136.535154] usb usb1: LATE type suspend, may wakeup
<7>{0}[  136.535186] input input8: LATE type suspend
<7>{0}[  136.535442] mmcblk mmc0:0001: LATE suspend
<7>{0}[  136.535466] soc-audio soc-audio.1: LATE suspend
<7>{0}[  136.535490] spdif-dit spdif-dit: LATE suspend
<7>{0}[  136.535558] soc-audio soc-audio.0: LATE suspend
<7>{0}[  136.535581] samsung-i2s samsung-i2s.4: LATE suspend
<7>{0}[  136.535605] snd-soc-dummy snd-soc-dummy: LATE suspend
<7>{0}[  136.535926] alarm alarm: LATE suspend
<7>{0}[  136.535977] input input7: LATE type suspend
<7>{0}[  136.536006] input input6: LATE type suspend
<7>{0}[  136.536034] input input5: LATE type suspend
<7>{0}[  136.536180] s5p-ehci s5p-ehci: LATE suspend
<7>{0}[  136.536210] platform wm8994-gpio: LATE suspend
<7>{0}[  136.536234] wm8994-codec wm8994-codec: LATE suspend
<7>{0}[  136.536264] wm8994-ldo wm8994-ldo.1: LATE suspend
<7>{0}[  136.536293] wm8994-ldo wm8994-ldo.0: LATE suspend
<7>{0}[  136.536317] input input4: LATE type suspend
<7>{0}[  136.536350] input input3: LATE type suspend
<7>{0}[  136.536379] input input2: LATE type suspend
<7>{0}[  136.536408] input input1: LATE type suspend
<7>{0}[  136.536708] mali_dev mali_dev.0: LATE suspend
<7>{0}[  136.536821] bcm4329_wlan bcm4329_wlan: LATE suspend
<7>{0}[  136.536845] s3c-sdhci s3c-sdhci.3: LATE suspend
<7>{0}[  136.536874] input input0: LATE type suspend
<7>{0}[  136.537351] ov7690 7-0021: LATE suspend
<7>{0}[  136.537374] M6MO 7-001f: LATE suspend
<7>{0}[  136.537396] i2c i2c-7: LATE suspend
<7>{0}[  136.537418] atmel_mxt_ts 6-004a: LATE suspend
<7>{0}[  136.537441] i2c i2c-6: LATE suspend
<7>{0}[  136.537463] bq27541 5-0055: LATE suspend, may wakeup
<7>{0}[  136.537486] i2c i2c-5: LATE suspend
<7>{0}[  136.537542] max77665-safeout max77665-safeout: LATE suspend
<7>{0}[  136.537566] torch-led torch-led: LATE suspend
<7>{0}[  136.537590] max77665-haptic max77665-haptic: LATE suspend
